episode_id;timestamp_start;timestamp_end;league;match;matchup_id;market;ah_line;steam_side;steam_points;steam_start_odd;steam_end_odd;steam_movement_pct;opposite_movement_pct;opposite_side;opposite_points;opposite_start_odd;opposite_end_odd;steam_dominance_pct;base_prob_pct;observations;duration_minutes;hours_until_match_start;movement_score;persistence_score;timing_score;fvs_score
1636734383-ou25-1790145790;2026-09-23T06:43:10.221836+00:00;2026-09-23T06:56:04.858708+00:00;Japan - Cup;Kyoto Sanga vs Fujieda MYFC;1636734383;total;OU-2.5;under;2.5;1.99;2.0;0.995;0.995;under;2.5;1.99;2.0;55.17;48.24;2;12.91;1.28;8.29;36.15;81.89;43.54
1636739074-ah1-home_-1-1790145790;2026-09-23T06:43:10.221836+00:00;2026-09-23T06:56:04.858708+00:00;Japan - Cup;Vissel Kobe vs Sagan Tosu;1636739074;spread;AH-1;home;-1.0;1.901;1.8;7.475;0.0;away;1.0;1.952;2.07;100.0;50.66;2;12.91;1.28;62.29;36.15;81.89;66.27
1636769026-ah1-away_-1-1790146177;2026-09-23T06:49:37.578651+00:00;2026-09-23T07:02:32.079230+00:00;Czech Republic - Cup;Kladno vs Banik Ostrava;1636769026;spread;AH-1;away;-1.0;1.833;1.971;0.38;7.951;home;1.0;1.962;1.806;4.57;51.7;2;12.91;7.16;3.17;36.15;100.0;32.71
1636739074-ah1-home_-1-1790147539;2026-09-23T07:12:19.291268+00:00;2026-09-23T07:12:19.291268+00:00;Japan - Cup;Vissel Kobe vs Sagan Tosu;1636739074;spread;AH-1;home;-1.0;1.847;1.847;0.0;2.899;away;1.0;2.01;2.01;0.0;52.11;1;0;0.78;0.0;0.0;69.51;22.58
1636734383-ou25-1790147539;2026-09-23T07:12:19.291268+00:00;2026-09-23T07:12:19.291268+00:00;Japan - Cup;Kyoto Sanga vs Fujieda MYFC;1636734383;total;OU-2.5;over;2.5;1.82;1.82;1.087;0.0;under;2.5;2.03;2.03;100.0;52.73;1;0;0.78;9.06;0.0;69.51;49.58
1636769026-ah1-away_-1-1790147932;2026-09-23T07:18:52.505715+00:00;2026-09-23T07:18:52.505715+00:00;Czech Republic - Cup;Kladno vs Banik Ostrava;1636769026;spread;AH-1;away;-1.0;1.935;1.935;1.826;0.0;home;1.0;1.833;1.833;100.0;48.65;1;0;6.67;15.22;0.0;100.0;52.64
1636734383-ah1-home_-1-1790148450;2026-09-23T07:27:30.662618+00:00;2026-09-23T07:27:30.662618+00:00;Japan - Cup;Kyoto Sanga vs Fujieda MYFC;1636734383;spread;AH-1;home;-1.0;2.08;2.08;0.0;1.048;away;1.0;1.794;1.794;0.0;46.31;1;0;0.53;0.0;0.0;63.21;20.21
1636739074-ah1-home_-1-1790148450;2026-09-23T07:27:30.662618+00:00;2026-09-23T07:40:44.130296+00:00;Japan - Cup;Vissel Kobe vs Sagan Tosu;1636739074;spread;AH-1;home;-1.0;1.926;1.952;0.0;5.477;away;1.0;1.926;1.901;0.0;50.0;2;13.22;0.53;0.0;36.46;63.21;26.79
1636734383-ou25-1790148450;2026-09-23T07:27:30.662618+00:00;2026-09-23T07:40:44.130296+00:00;Japan - Cup;Kyoto Sanga vs Fujieda MYFC;1636734383;total;OU-2.5;under;2.5;2.0;1.943;4.328;4.328;under;2.5;2.0;1.943;100.0;47.92;2;13.22;0.53;36.07;36.46;63.21;58.38
1636738969-ah1-home_-1-1790149244;2026-09-23T07:40:44.130296+00:00;2026-09-23T07:40:44.130296+00:00;Japan - Cup;Gamba Osaka vs Tokushima Vortis;1636738969;spread;AH-1;home;-1.0;1.806;1.806;2.642;0.0;away;1.0;2.06;2.06;100.0;53.29;1;0;0.31;22.01;0.0;57.69;51.16
1636739074-ah1-home_-1-1790150245;2026-09-23T07:57:25.470960+00:00;2026-09-23T07:57:25.470960+00:00;Japan - Cup;Vissel Kobe vs Sagan Tosu;1636739074;spread;AH-1;home;-1.0;1.99;1.99;0.0;2.052;away;1.0;1.862;1.862;0.0;48.34;1;0;0.03;0.0;0.0;50.7;19.57
1636734383-ou25-1790150245;2026-09-23T07:57:25.470960+00:00;2026-09-23T07:57:25.470960+00:00;Japan - Cup;Kyoto Sanga vs Fujieda MYFC;1636734383;total;OU-2.5;over;2.5;1.855;1.855;2.007;0.0;under;2.5;1.99;1.99;100.0;51.76;1;0;0.03;16.73;0.0;50.7;48.94
1636768855-ou25-1790151647;2026-09-23T08:20:47.117806+00:00;2026-09-23T08:20:47.117806+00:00;Israel - Liga Alef;Beitar Nahariya vs Maccabi Neve Shaanan;1636768855;total;OU-2.5;under;2.5;1.833;1.833;1.186;1.186;under;2.5;1.833;1.833;100.0;50.59;1;0;8.65;9.88;0.0;91.84;51.34
1636836388-ou25-1790151647;2026-09-23T08:20:47.117806+00:00;2026-09-23T08:20:47.117806+00:00;North Macedonia - 1st League;Bregalnica Stip vs FK Skopje;1636836388;total;OU-2.5;under;2.5;1.813;1.813;1.841;1.841;under;2.5;1.813;1.813;100.0;51.18;1;0;7.64;15.34;0.0;100.0;53.42
1637146481-ah1-home_-1-1790152441;2026-09-23T08:34:01.098059+00:00;2026-09-23T08:34:01.098059+00:00;Nigeria - NPFL;Barau vs Abia Warriors;1637146481;spread;AH-1;home;-1.0;1.877;1.877;0.0;3.577;away;1.0;1.833;1.833;0.0;49.41;1;0;6.42;0.0;0.0;100.0;24.82
1636836388-ou25-1790153430;2026-09-23T08:50:30.230150+00:00;2026-09-23T08:50:30.230150+00:00;North Macedonia - 1st League;Bregalnica Stip vs FK Skopje;1636836388;total;OU-2.5;over;2.5;1.877;1.877;1.262;0.0;under;2.5;1.833;1.833;100.0;49.41;1;0;7.14;10.52;0.0;100.0;51.93
