timestamp;match;market;designation;points;old_odd;new_odd;movement_pct
2026-06-14 17:13:11,Los Angeles Angels vs Tampa Bay Rays,spread,home,1.5,-158,-154,1.01;;;;;;;
2026-06-14 17:13:11,Los Angeles Angels vs Tampa Bay Rays,spread,away,-1.5,142,139,1.24;;;;;;;
2026-06-14 17:13:11,Chicago White Sox vs Los Angeles Dodgers,moneyline,home,,163,171,3.04;;;;;;;
2026-06-14 17:13:11,Chicago White Sox vs Los Angeles Dodgers,moneyline,away,,-178,-188,1.91;;;;;;;
2026-06-14 17:13:11,Chicago White Sox vs Los Angeles Dodgers,spread,home,1.5,103,106,1.48;;;;;;;
2026-06-14 17:13:11,Chicago White Sox vs Los Angeles Dodgers,spread,away,-1.5,-114,-117,1.2;;;;;;;
2026-06-14 17:13:11,Chicago White Sox vs Los Angeles Dodgers,total,over,9.5,-114,-102,5.5;;;;;;;
2026-06-14 17:13:11,Chicago White Sox vs Los Angeles Dodgers,total,under,9.5,102,-111,5.9;;;;;;;
2026-06-14 17:13:11,Cincinnati Reds vs Arizona Diamondbacks,moneyline,home,,-103,-104,0.47;;;;;;;
2026-06-14 17:13:11,Cincinnati Reds vs Arizona Diamondbacks,moneyline,away,,-105,-104,0.47;;;;;;;
2026-06-14 17:13:11,Cincinnati Reds vs Arizona Diamondbacks,spread,home,1.5,-162,-163,0.23;;;;;;;
2026-06-14 17:13:11,Cincinnati Reds vs Arizona Diamondbacks,spread,away,-1.5,145,146,0.41;;;;;;;
2026-06-14T15:13:54.245362+00:00;Boston Red Sox vs Texas Rangers;spread;away;1.5;-204;-203;0.16
2026-06-14T15:13:54.277584+00:00;Cleveland Guardians vs Detroit Tigers;moneyline;home;;-110;-103;3.24
2026-06-14T15:13:54.278192+00:00;Cleveland Guardians vs Detroit Tigers;moneyline;away;;101;-105;2.87
2026-06-14T15:13:54.278765+00:00;Cleveland Guardians vs Detroit Tigers;spread;home;-1.5;194;204;3.4
2026-06-14T15:13:54.279325+00:00;Cleveland Guardians vs Detroit Tigers;spread;away;1.5;-220;-232;1.62
2026-06-14T15:13:54.279838+00:00;Cleveland Guardians vs Detroit Tigers;total;over;7.0;-117;-112;2.06
2026-06-14T15:13:54.280357+00:00;Cleveland Guardians vs Detroit Tigers;total;under;7.0;104;100;1.96
2026-06-14T15:13:54.310938+00:00;Pittsburgh Pirates vs Miami Marlins;moneyline;home;;-152;-149;0.8
2026-06-14T15:13:54.311570+00:00;Pittsburgh Pirates vs Miami Marlins;moneyline;away;;139;137;0.84
2026-06-14T15:13:54.312073+00:00;Pittsburgh Pirates vs Miami Marlins;total;over;7.0;-105;-119;5.74
2026-06-14T15:13:54.312586+00:00;Pittsburgh Pirates vs Miami Marlins;total;under;7.0;-107;106;6.48
2026-06-14T15:13:54.343509+00:00;Cincinnati Reds vs Arizona Diamondbacks;moneyline;home;;-103;-104;0.47
2026-06-14T15:13:54.344060+00:00;Cincinnati Reds vs Arizona Diamondbacks;moneyline;away;;-105;-104;0.47
2026-06-14T15:13:54.344549+00:00;Cincinnati Reds vs Arizona Diamondbacks;spread;home;1.5;-162;-163;0.23
2026-06-14T15:13:54.345067+00:00;Cincinnati Reds vs Arizona Diamondbacks;spread;away;-1.5;145;146;0.41
2026-06-14T15:13:54.401408+00:00;Athletics vs Colorado Rockies;moneyline;home;;-174;-187;2.54
2026-06-14T15:13:54.402003+00:00;Athletics vs Colorado Rockies;moneyline;away;;159;171;4.63
2026-06-14T15:13:54.402521+00:00;Athletics vs Colorado Rockies;spread;home;-1.5;104;-106;4.74
2026-06-14T15:13:54.403170+00:00;Athletics vs Colorado Rockies;spread;away;1.5;-115;-104;4.92
2026-06-14T15:13:54.403809+00:00;Athletics vs Colorado Rockies;total;over;14.0;-104;-106;0.92
2026-06-14T15:13:54.404308+00:00;Athletics vs Colorado Rockies;total;under;14.0;-108;-106;0.91
2026-06-14T15:13:54.434968+00:00;Baltimore Orioles vs San Diego Padres;moneyline;home;;-130;-134;1.3
2026-06-14T15:13:54.435575+00:00;Baltimore Orioles vs San Diego Padres;moneyline;away;;120;124;1.82
2026-06-14T15:13:54.436090+00:00;Baltimore Orioles vs San Diego Padres;spread;home;-1.5;151;147;1.59
2026-06-14T15:13:54.436666+00:00;Baltimore Orioles vs San Diego Padres;spread;away;1.5;-169;-164;1.13
2026-06-14T15:13:54.437342+00:00;Baltimore Orioles vs San Diego Padres;total;over;10.0;-102;-114;5.21
2026-06-14T15:13:54.437917+00:00;Baltimore Orioles vs San Diego Padres;total;under;10.0;-111;102;6.27
2026-06-14T15:13:54.467114+00:00;Minnesota Twins vs St. Louis Cardinals;moneyline;away;;-101;-102;0.49
2026-06-14T15:13:54.467694+00:00;Minnesota Twins vs St. Louis Cardinals;spread;home;-1.5;186;185;0.35
2026-06-14T15:13:54.468174+00:00;Minnesota Twins vs St. Louis Cardinals;spread;away;1.5;-210;-209;0.15
2026-06-14T15:13:54.496944+00:00;Chicago White Sox vs Los Angeles Dodgers;moneyline;home;;163;171;3.04
2026-06-14T15:13:54.497585+00:00;Chicago White Sox vs Los Angeles Dodgers;moneyline;away;;-178;-188;1.91
2026-06-14T15:13:54.498118+00:00;Chicago White Sox vs Los Angeles Dodgers;spread;home;1.5;103;106;1.48
2026-06-14T15:13:54.498624+00:00;Chicago White Sox vs Los Angeles Dodgers;spread;away;-1.5;-114;-117;1.2
2026-06-14T15:13:54.499147+00:00;Chicago White Sox vs Los Angeles Dodgers;total;over;9.5;-114;-102;5.5
2026-06-14T15:13:54.499649+00:00;Chicago White Sox vs Los Angeles Dodgers;total;under;9.5;102;-111;5.9
2026-06-14T15:13:54.529418+00:00;New York Mets vs Atlanta Braves;moneyline;home;;-113;-123;3.82
2026-06-14T15:13:54.529945+00:00;New York Mets vs Atlanta Braves;moneyline;away;;104;113;4.41
2026-06-14T15:13:54.530426+00:00;New York Mets vs Atlanta Braves;spread;home;-1.5;180;170;3.57
2026-06-14T15:13:54.530910+00:00;New York Mets vs Atlanta Braves;spread;away;1.5;-203;-190;2.26
2026-06-14T15:13:54.531448+00:00;New York Mets vs Atlanta Braves;total;over;8.5;-112;-110;0.86
2026-06-14T15:13:54.531963+00:00;New York Mets vs Atlanta Braves;total;under;8.5;-100;-102;0.98
2026-06-14T15:13:54.560730+00:00;Washington Nationals vs Seattle Mariners;moneyline;home;;121;119;0.9
2026-06-14T15:13:54.561298+00:00;Washington Nationals vs Seattle Mariners;moneyline;away;;-131;-129;0.67
2026-06-14T15:13:54.561828+00:00;Washington Nationals vs Seattle Mariners;spread;home;1.5;-129;-130;0.34
2026-06-14T15:13:54.562327+00:00;Washington Nationals vs Seattle Mariners;spread;away;-1.5;117;118;0.46
2026-06-14T15:13:54.597456+00:00;Kansas City Royals vs Houston Astros;moneyline;home;;-115;-117;0.8
2026-06-14T15:13:54.598041+00:00;Kansas City Royals vs Houston Astros;moneyline;away;;106;108;0.97
2026-06-14T15:13:54.598542+00:00;Kansas City Royals vs Houston Astros;spread;home;-1.5;173;171;0.73
2026-06-14T15:13:54.599068+00:00;Kansas City Royals vs Houston Astros;spread;away;1.5;-194;-192;0.35
2026-06-14T15:13:54.599594+00:00;Kansas City Royals vs Houston Astros;total;over;8.5;-116;-112;1.65
2026-06-14T15:13:54.600119+00:00;Kansas City Royals vs Houston Astros;total;under;8.5;103;-100;1.48
2026-06-14T15:13:54.659579+00:00;Toronto Blue Jays vs New York Yankees;moneyline;home;;112;117;2.36
2026-06-14T15:13:54.660158+00:00;Toronto Blue Jays vs New York Yankees;moneyline;away;;-121;-126;1.8
2026-06-14T15:13:54.660663+00:00;Toronto Blue Jays vs New York Yankees;spread;home;1.5;-151;-147;1.08
2026-06-14T15:13:54.661175+00:00;Toronto Blue Jays vs New York Yankees;spread;away;-1.5;136;132;1.69
2026-06-14T15:13:54.693118+00:00;Milwaukee Brewers vs Philadelphia Phillies;moneyline;home;;104;114;4.9
2026-06-14T15:13:54.693747+00:00;Milwaukee Brewers vs Philadelphia Phillies;moneyline;away;;-113;-124;4.16
2026-06-14T15:13:54.694241+00:00;Milwaukee Brewers vs Philadelphia Phillies;spread;home;1.5;-175;-164;2.44
2026-06-14T15:13:54.694755+00:00;Milwaukee Brewers vs Philadelphia Phillies;spread;away;-1.5;157;147;3.89
2026-06-14T15:13:54.726918+00:00;Los Angeles Angels vs Tampa Bay Rays;moneyline;home;;103;106;1.48
2026-06-14T15:13:54.727573+00:00;Los Angeles Angels vs Tampa Bay Rays;moneyline;away;;-112;-115;1.23
2026-06-14T15:13:54.728229+00:00;Los Angeles Angels vs Tampa Bay Rays;spread;home;1.5;-158;-154;1.01
2026-06-14T15:13:54.728861+00:00;Los Angeles Angels vs Tampa Bay Rays;spread;away;-1.5;142;139;1.24
2026-06-14T15:13:54.757729+00:00;San Francisco Giants vs Chicago Cubs;spread;home;-1.5;158;159;0.39
2026-06-14T15:13:54.758290+00:00;San Francisco Giants vs Chicago Cubs;spread;away;1.5;-177;-178;0.2
2026-06-14T15:13:54.758878+00:00;San Francisco Giants vs Chicago Cubs;total;over;8.0;-107;-102;2.37
2026-06-14T15:13:54.759391+00:00;San Francisco Giants vs Chicago Cubs;total;under;8.0;-105;-110;2.22
2026-06-14T15:14:34.791525+00:00;San Francisco Giants vs Chicago Cubs;moneyline;home;;-130;-125;1.74
2026-06-14T15:14:34.792429+00:00;San Francisco Giants vs Chicago Cubs;moneyline;away;;120;115;2.27
2026-06-14T15:14:34.793160+00:00;San Francisco Giants vs Chicago Cubs;spread;home;-1.5;159;164;1.93
2026-06-14T15:14:34.793794+00:00;San Francisco Giants vs Chicago Cubs;spread;away;1.5;-178;-183;0.98
2026-06-14T15:14:34.794383+00:00;San Francisco Giants vs Chicago Cubs;total;over;8.0;-102;101;1.5
2026-06-14T15:14:34.794961+00:00;San Francisco Giants vs Chicago Cubs;total;under;8.0;-110;-113;1.26
2026-06-14 17:15:12,San Francisco Giants vs Chicago Cubs,moneyline,home,,-130,-125,1.74;;;;;;;
2026-06-14 17:15:12,San Francisco Giants vs Chicago Cubs,moneyline,away,,120,115,2.27;;;;;;;
2026-06-14 17:15:12,San Francisco Giants vs Chicago Cubs,spread,home,-1.5,159,164,1.93;;;;;;;
2026-06-14 17:15:12,San Francisco Giants vs Chicago Cubs,spread,away,1.5,-178,-183,0.98;;;;;;;
2026-06-14 17:15:12,San Francisco Giants vs Chicago Cubs,total,over,8.0,-102,101,1.5;;;;;;;
2026-06-14 17:15:12,San Francisco Giants vs Chicago Cubs,total,under,8.0,-110,-113,1.26;;;;;;;
2026-06-14T15:15:55.323966+00:00;Toronto Blue Jays vs New York Yankees;moneyline;home;;117;119;0.92
2026-06-14T15:15:55.324668+00:00;Toronto Blue Jays vs New York Yankees;moneyline;away;;-126;-129;1.03
2026-06-14T15:15:55.325277+00:00;Toronto Blue Jays vs New York Yankees;spread;home;1.5;-147;-143;1.13
2026-06-14T15:15:55.325760+00:00;Toronto Blue Jays vs New York Yankees;spread;away;-1.5;132;129;1.29
2026-06-14T15:15:55.326240+00:00;Toronto Blue Jays vs New York Yankees;total;over;8.0;-109;-116;2.89
2026-06-14T15:15:55.326761+00:00;Toronto Blue Jays vs New York Yankees;total;under;8.0;-103;103;3.0
2026-06-14T15:15:55.439395+00:00;San Francisco Giants vs Chicago Cubs;moneyline;home;;-130;-125;1.74
2026-06-14T15:15:55.439981+00:00;San Francisco Giants vs Chicago Cubs;moneyline;away;;120;115;2.27
2026-06-14T15:15:55.440490+00:00;San Francisco Giants vs Chicago Cubs;spread;home;-1.5;159;164;1.93
2026-06-14T15:15:55.441010+00:00;San Francisco Giants vs Chicago Cubs;spread;away;1.5;-178;-183;0.98
2026-06-14T15:15:55.441606+00:00;San Francisco Giants vs Chicago Cubs;total;over;8.0;-102;101;1.5
2026-06-14T15:15:55.442193+00:00;San Francisco Giants vs Chicago Cubs;total;under;8.0;-110;-113;1.26
2026-06-14T15:16:31.100031+00:00;Boston Red Sox vs Texas Rangers;spread;away;1.5;-204;-203;0.16
